=== RTL CONV1D OUTPUT DUMP ===
Format: TEST[name] output[t][f]=value

TIMEOUT test_input_mem
TEST[zeros] output[0][0]=39
TEST[zeros] output[0][1]=13
TEST[zeros] output[0][2]=15
TEST[zeros] output[0][3]=-21
TEST[zeros] output[0][4]=19
TEST[zeros] output[0][5]=45
TEST[zeros] output[0][6]=-2
TEST[zeros] output[0][7]=0
TEST[zeros] output[1][0]=-26
TEST[zeros] output[1][1]=13
TEST[zeros] output[1][2]=15
TEST[zeros] output[1][3]=-21
TEST[zeros] output[1][4]=19
TEST[zeros] output[1][5]=45
TEST[zeros] output[1][6]=-2
TEST[zeros] output[1][7]=0
TEST[zeros] output[2][0]=-26
TEST[zeros] output[2][1]=13
TEST[zeros] output[2][2]=15
TEST[zeros] output[2][3]=-21
TEST[zeros] output[2][4]=19
TEST[zeros] output[2][5]=45
TEST[zeros] output[2][6]=-2
TEST[zeros] output[2][7]=0
TEST[zeros] output[3][0]=-26
TEST[zeros] output[3][1]=13
TEST[zeros] output[3][2]=15
TEST[zeros] output[3][3]=-21
TEST[zeros] output[3][4]=19
TEST[zeros] output[3][5]=45
TEST[zeros] output[3][6]=-2
TEST[zeros] output[3][7]=0
TEST[zeros] output[4][0]=-26
TEST[zeros] output[4][1]=0
TEST[zeros] output[4][2]=0
TEST[zeros] output[4][3]=0
TEST[zeros] output[4][4]=0
TEST[zeros] output[4][5]=0
TEST[zeros] output[4][6]=0
TEST[zeros] output[4][7]=0
TEST[zeros] output[5][0]=0
TEST[zeros] output[5][1]=0
TEST[zeros] output[5][2]=0
TEST[zeros] output[5][3]=0
TEST[zeros] output[5][4]=0
TEST[zeros] output[5][5]=0
TEST[zeros] output[5][6]=0
TEST[zeros] output[5][7]=0
TEST[zeros] output[6][0]=0
TEST[zeros] output[6][1]=0
TEST[zeros] output[6][2]=0
TEST[zeros] output[6][3]=0
TEST[zeros] output[6][4]=0
TEST[zeros] output[6][5]=0
TEST[zeros] output[6][6]=0
TEST[zeros] output[6][7]=0
TEST[zeros] output[7][0]=0
TEST[zeros] output[7][1]=0
TEST[zeros] output[7][2]=0
TEST[zeros] output[7][3]=0
TEST[zeros] output[7][4]=0
TEST[zeros] output[7][5]=0
TEST[zeros] output[7][6]=0
TEST[zeros] output[7][7]=0
TEST[zeros] output[8][0]=0
TEST[zeros] output[8][1]=0
TEST[zeros] output[8][2]=0
TEST[zeros] output[8][3]=0
TEST[zeros] output[8][4]=0
TEST[zeros] output[8][5]=0
TEST[zeros] output[8][6]=0
TEST[zeros] output[8][7]=0
TEST[zeros] output[9][0]=0
TEST[zeros] output[9][1]=0
TEST[zeros] output[9][2]=0
TEST[zeros] output[9][3]=0
TEST[zeros] output[9][4]=0
TEST[zeros] output[9][5]=0
TEST[zeros] output[9][6]=0
TEST[zeros] output[9][7]=0
TEST[zeros] output[10][0]=0
TEST[zeros] output[10][1]=0
TEST[zeros] output[10][2]=0
TEST[zeros] output[10][3]=0
TEST[zeros] output[10][4]=0
TEST[zeros] output[10][5]=0
TEST[zeros] output[10][6]=0
TEST[zeros] output[10][7]=0
TEST[zeros] output[11][0]=0
TEST[zeros] output[11][1]=0
TEST[zeros] output[11][2]=0
TEST[zeros] output[11][3]=0
TEST[zeros] output[11][4]=0
TEST[zeros] output[11][5]=0
TEST[zeros] output[11][6]=0
TEST[zeros] output[11][7]=0
TEST[zeros] output[12][0]=0
TEST[zeros] output[12][1]=0
TEST[zeros] output[12][2]=0
TEST[zeros] output[12][3]=0
TEST[zeros] output[12][4]=0
TEST[zeros] output[12][5]=0
TEST[zeros] output[12][6]=0
TEST[zeros] output[12][7]=0
TEST[zeros] output[13][0]=0
TEST[zeros] output[13][1]=0
TEST[zeros] output[13][2]=0
TEST[zeros] output[13][3]=0
TEST[zeros] output[13][4]=0
TEST[zeros] output[13][5]=0
TEST[zeros] output[13][6]=0
TEST[zeros] output[13][7]=0
TEST[zeros] output[14][0]=0
TEST[zeros] output[14][1]=0
TEST[zeros] output[14][2]=0
TEST[zeros] output[14][3]=0
TEST[zeros] output[14][4]=0
TEST[zeros] output[14][5]=0
TEST[zeros] output[14][6]=0
TEST[zeros] output[14][7]=0
TEST[zeros] output[15][0]=0
TEST[zeros] output[15][1]=0
TEST[zeros] output[15][2]=0
TEST[zeros] output[15][3]=0
TEST[zeros] output[15][4]=0
TEST[zeros] output[15][5]=0
TEST[zeros] output[15][6]=0
TEST[zeros] output[15][7]=0
TEST[max] output[0][0]=13
TEST[max] output[0][1]=-61
TEST[max] output[0][2]=49
